time_s,velocity_body_x,velocity_body_y,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z,added_mass_body_xx,added_mass_body_yy,added_mass_body_rr
4.25,-0.0690918,-0.218217,0,0,0,0,0,0,-0,16.9335,24.9065,1.4313
4.3,-0.0643397,-0.214938,0,0,0,0,0,0,-0,16.5125,25.3275,1.4313
4.35,-0.0597833,-0.211697,0,0,0,0,0,0,-0,16.1034,25.7366,1.4313
4.4,-0.0554156,-0.208495,0,0,0,0,0,0,-0,15.706,26.134,1.4313
4.45,-0.0512296,-0.205335,0,0,0,0,0,0,-0,15.3203,26.5197,1.4313
4.5,-0.0472184,-0.202216,0,0,0,0,0,0,-0,14.9461,26.8939,1.4313
4.55,-0.0433757,-0.199139,0,0,0,0,0,0,-0,14.5832,27.2568,1.4313
4.6,-0.039695,-0.196105,0,0,0,0,0,0,-0,14.2315,27.6085,1.4313
4.65,-0.0361701,-0.193115,0,0,0,0,0,0,-0,13.8908,27.9492,1.4313
4.7,-0.0327951,-0.190168,0,0,0,0,0,0,-0,13.5609,28.2791,1.4313
4.75,-0.0295642,-0.187265,0,0,0,0,0,0,-0,13.2416,28.5984,1.4313
4.8,-0.0264718,-0.184406,0,0,0,0,0,0,-0,12.9326,28.9074,1.4313
4.85,-0.0235124,-0.181592,0,0,0,0,0,0,-0,12.6337,29.2063,1.4313
4.9,-0.020681,-0.178821,0,0,0,0,0,0,-0,12.3447,29.4953,1.4313
4.95,-0.0179723,-0.176094,0,0,0,0,0,0,-0,12.0653,29.7747,1.4313
5,-0.0153816,-0.173412,0,0,0,0,0,0,-0,11.7953,30.0447,1.4313
5.05,-0.0129041,-0.170772,0,0,0,0,0,0,-0,11.5344,30.3056,1.4313
5.1,-0.0105354,-0.168177,0,0,0,0,0,0,-0,11.2824,30.5576,1.4313
5.15,-0.00827111,-0.165624,0,0,0,0,0,0,-0,11.039,30.801,1.4313
5.2,-0.00610698,-0.163114,0,0,0,0,0,0,-0,10.804,31.036,1.4313
5.25,-0.004039,-0.160646,0,0,0,0,0,0,-0,10.5771,31.2629,1.4313
5.3,-0.00206329,-0.158221,0,0,0,0,0,0,-0,10.3582,31.4818,1.4313
