time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/std,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/clip_range,train/value_loss,train/approx_kl,train/policy_gradient_loss,train/loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean
126,503,63488,31,0.8960188627243042,0.02216796875,0.14430838823318481,300,-2.618834149837494,0.2,1.7166017428040505,0.0036450424,-0.00279086985392496,0.22908329963684082,0.0003,-157.78904878846154,1200.0
128,510,65536,32,0.8955097794532776,0.02822265625,0.8118607997894287,310,-2.6173727571964265,0.2,9.154400515556336,0.0043225074,-0.002113822440151125,1.8673112392425537,0.0003,-157.78904878846154,1200.0
133,504,67584,33,0.895609974861145,0.02783203125,0.883000910282135,320,-2.616611588001251,0.2,1.9894458442926406,0.005192228,-0.003864056954625994,0.7045720815658569,0.0003,-157.2309237142857,1200.0
136,509,69632,34,0.8955844640731812,0.00576171875,0.8716660737991333,330,-2.6172686576843263,0.2,5.858272725343705,0.004006874,-0.001713939814362675,1.4868162870407104,0.0003,-157.2309237142857,1200.0
139,515,71680,35,0.8950318098068237,0.030029296875,0.9491708874702454,340,-2.6162981927394866,0.2,1.5477259695529937,0.00698281,-0.002947401750134304,0.5852042436599731,0.0003,-157.2309237142857,1200.0
144,508,73728,36,0.8950818181037903,0.007763671875,0.6522798538208008,350,-2.615529501438141,0.2,5.150755840539932,0.0030066806,0.0006167170242406428,0.9596501588821411,0.0003,-159.72035843333333,1200.0
147,513,75776,37,0.8953284621238708,0.031494140625,0.8507794141769409,360,-2.6161429286003113,0.2,3.67561112344265,0.005082496,-0.0031227051338646563,1.0858615636825562,0.0003,-159.72035843333333,1200.0
153,507,77824,38,0.8950403332710266,0.0453125,0.747782826423645,370,-2.616159462928772,0.2,2.0007457554340364,0.0074700047,-0.003918283840175718,0.5534387826919556,0.0003,-159.2892453125,1200.0
156,511,79872,39,0.8953893184661865,0.0466796875,0.9425376653671265,380,-2.6158683359622956,0.2,4.145719200372696,0.006569024,-0.004484758852049709,1.1850531101226807,0.0003,-159.2892453125,1200.0
161,506,81920,40,0.895103931427002,0.03232421875,0.8512241840362549,390,-2.616540676355362,0.2,2.6641363531351088,0.0055657383,-0.004419778945157304,0.6136457324028015,0.0003,-160.2507350735294,1200.0
164,510,83968,41,0.8951437473297119,0.0146484375,0.8836043477058411,400,-2.615693432092667,0.2,8.78186742067337,0.0040409304,-0.0029354422120377423,2.5264687538146973,0.0003,-160.2507350735294,1200.0
167,514,86016,42,0.8944528102874756,0.02744140625,0.9741172790527344,410,-2.615748566389084,0.2,1.0959804311394692,0.004879595,-0.002001500432379544,0.3073592185974121,0.0003,-160.2507350735294,1200.0
