control_step,time_s,north_m,east_m,reward
42,4.2,7.888859157022767,-0.2915248348078264,0.5302337919736251
43,4.3,8.146419970690866,-0.2752706986883006,0.5255171627343721
44,4.4,8.399013043469928,-0.25933864479308216,0.5138161354860635
45,4.5,8.644937334707706,-0.2438471531817261,0.4985249634748102
46,4.6000000000000005,8.89150901376026,-0.22839415280259578,0.4988360572560329
47,4.7,9.152271942846362,-0.21222536662929578,0.5279292092108983
48,4.800000000000001,9.411286844893151,-0.19629573098588438,0.5230682436704122
49,4.9,9.6673985553622,-0.18065566360012317,0.5157524660864381
50,5.0,9.918179620054945,-0.1654741907156196,0.5033099515480388
51,5.1000000000000005,10.171871936273375,-0.1502682923630817,0.508363359179177
52,5.2,10.437938191737647,-0.1344405676826754,0.5334021277102994
53,5.300000000000001,10.698486742772113,-0.11903594643987998,0.5204717658994829
54,5.4,10.954341034989941,-0.1039872568093343,0.5093046271079488
55,5.5,11.204109871283961,-0.08937804265466211,0.4952234981768404
56,5.6000000000000005,11.459200780107967,-0.07445078942648133,0.5052107833731806
57,5.7,11.726313681256462,-0.058681691243941264,0.5291938683529662
58,5.800000000000001,11.986071737566897,-0.043261613360108885,0.5122552212726528
59,5.9,12.240136007969094,-0.028089950029908228,0.4988496977082989
60,6.0,12.487755954540502,-0.01318432720874804,0.483881130349269
61,6.1000000000000005,12.742062196886547,0.0023499462364112147,0.4964434534079547
62,6.2,13.007612838781208,0.018844400381420837,0.5184158735479463
63,6.300000000000001,13.267021808605815,0.035169289453280426,0.503876320280864
64,6.4,13.521527753592297,0.05138560948520331,0.49195559224965124
65,6.5,13.770360369637373,0.06745632395170824,0.4784347740368426
66,6.6000000000000005,14.026732725083033,0.08417355790632274,0.4924592002149499
67,6.7,14.291970675316323,0.1015174591394655,0.5091396089040383
68,6.800000000000001,14.550959946658438,0.11852593345735758,0.4942979441865803
69,6.9,14.804816859962784,0.1352511666664096,0.48181122761969736
70,7.0,15.054078210322249,0.15167846718606015,0.47048101815383697
71,7.1000000000000005,15.313396530410422,0.16854955208785058,0.48948160853220796
72,7.2,15.5788634504354,0.1855152079224483,0.5002836480061246
73,7.300000000000001,15.837108677837149,0.20181475066308546,0.48343741158924
74,7.4,16.08937839738876,0.21750881613968484,0.46922109777315724
75,7.5,16.337850879194196,0.23266628592045596,0.4595447551212823
76,7.6000000000000005,16.59797688946347,0.24812932599346474,0.4814256634645389
77,7.7,16.86258932239509,0.26352789022392153,0.48840095054614974
78,7.800000000000001,17.121017134124234,0.2782947012905166,0.4735379645084683
79,7.9,17.373437060263697,0.2924407111781649,0.459082777942779
80,8.0,17.622571195916173,0.3061532988691775,0.45013681868750155
81,8.1,17.88428604020387,0.3205690957632128,0.4728323665343142
82,8.200000000000001,18.1478441667564,0.3351943260746648,0.47352367314421356
83,8.3,18.405054005497405,0.349520287563043,0.4577452115982381
84,8.4,18.655830683283167,0.36357416365557577,0.4417987932642149
85,8.5,18.90504214493226,0.3777801220780254,0.43534971698339997
86,8.6,19.168145666133448,0.3933770328192321,0.45872573273822753
87,8.700000000000001,19.43063513071671,0.40946609962367403,0.4531547107207831
88,8.8,19.687198525269963,0.42562218374209126,0.43715570336230575
89,8.9,19.93718779165398,0.4418456235883374,0.41983499844523314
90,9.0,20.186850015474363,0.45858078783586487,0.4143133462027769
91,9.1,20.45063320229469,0.47670479309086256,0.43568327107189225
