scenario_id,axis,tier,vehicle_id,controller,seeds,progress_mean_m,success_rate,energy_mean
mis-05-changing-weather,mission-integration,moderate,vehicle-c-azimuth,pid,1,0.015644831637648515,0,2.150351773322579
mis-06-grounded-depth-hazard,mission-integration,complex,vehicle-a-otter,pid,1,1.060083250867745,0,2.187940329842059
mis-06-grounded-depth-hazard,mission-integration,complex,vehicle-b-rudder,pid,1,2.442596482020447,0,1.5255419239305494
mis-06-grounded-depth-hazard,mission-integration,complex,vehicle-c-azimuth,pid,1,0.024211007736055556,0,2.1503784683599716
man-01-straight-acceleration,maneuvering,simple,vehicle-a-otter,mpc,1,0.2503761663052124,0,2.158461475985688
man-01-straight-acceleration,maneuvering,simple,vehicle-b-rudder,mpc,1,-0.005272545887349267,0,2.150029816823218
man-01-straight-acceleration,maneuvering,simple,vehicle-c-azimuth,mpc,1,-0.1244044881872508,0,2.150485312168606
man-02-coast-down,maneuvering,simple,vehicle-a-otter,mpc,1,1.2825417695338057,0,2.1974511245235253
man-02-coast-down,maneuvering,simple,vehicle-b-rudder,mpc,1,4.977844500148387,0,3.0243519689536384
man-02-coast-down,maneuvering,simple,vehicle-c-azimuth,mpc,1,-0.06732189980026959,0,2.1501594625058402
man-03-turning-circle,maneuvering,moderate,vehicle-a-otter,mpc,1,1.3085410717267845,0,2.199401197862909
man-03-turning-circle,maneuvering,moderate,vehicle-b-rudder,mpc,1,5.160006449110907,0,3.277895093924334
man-03-turning-circle,maneuvering,moderate,vehicle-c-azimuth,mpc,1,-0.06212185879741838,0,2.1501672122456896
man-04-zig-zag,maneuvering,moderate,vehicle-a-otter,mpc,1,1.3085410717267845,0,2.199401197862909
man-04-zig-zag,maneuvering,moderate,vehicle-b-rudder,mpc,1,5.160006449110907,0,3.277895093924334
man-04-zig-zag,maneuvering,moderate,vehicle-c-azimuth,mpc,1,-0.06212185879741838,0,2.1501672122456896
man-05-reverse,maneuvering,moderate,vehicle-a-otter,mpc,1,1.283512971670051,0,2.1976866685844616
man-05-reverse,maneuvering,moderate,vehicle-b-rudder,mpc,1,5.211315344970149,0,3.5278554231628063
man-05-reverse,maneuvering,moderate,vehicle-c-azimuth,mpc,1,-0.05466364801505641,0,2.1501793333696484
man-06-crash-stop,maneuvering,moderate,vehicle-a-otter,mpc,1,1.2583847544432345,0,2.1961549377998737
