time/total_timesteps,time/time_elapsed,time/iterations,time/fps,train/policy_gradient_loss,train/loss,train/std,train/learning_rate,train/entropy_loss,train/value_loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
688128,1056,42,651,-0.002801124881079886,6.911449432373047,0.6918846964836121,0.0003,-2.104021689295769,9.201686277985573,410,0.9594636559486389,0.008262358,0.2,0.0970458984375,515.17,220.46983602999993
704512,1075,43,655,-0.002490896971721668,2.5534486770629883,0.6835356950759888,0.0003,-2.0866770185530186,7.114857838302851,420,0.9701142311096191,0.0087428205,0.2,0.101092529296875,514.08,221.33142728999997
720896,1096,44,657,-0.0021171350468648597,3.261864423751831,0.673721194267273,0.0003,-2.057511007785797,10.504573167860508,430,0.93955397605896,0.007118932,0.2,0.090460205078125,501.96,224.16500723999997
737280,1114,45,661,-0.002211564791286946,4.084656715393066,0.6702561378479004,0.0003,-2.040855786949396,9.803166122734547,440,0.9509800672531128,0.007430571,0.2,0.097442626953125,494.07,224.84943882999997
753664,1133,46,664,-0.002011442417278886,5.439617156982422,0.6657803654670715,0.0003,-2.030505330115557,12.547993709146976,450,0.941154956817627,0.01157738,0.2,0.08538818359375,493.49,223.62377361999998
770048,1152,47,668,-0.0019583969420637003,2.0825605392456055,0.6533735990524292,0.0003,-2.000954392179847,12.110848484933376,460,0.9281736016273499,0.010123146,0.2,0.113775634765625,495.4,221.93830283
786432,1170,48,671,-0.0008587391770561225,2.283703565597534,0.6525639295578003,0.0003,-1.9848334100097418,8.08510430008173,470,0.9657197594642639,0.008032875,0.2,0.112744140625,492.18,222.75777665
802816,1189,49,675,-0.0029051505494862794,3.593733310699463,0.6504886150360107,0.0003,-1.9796178713440895,13.78384264856577,480,0.9385796189308167,0.008813286,0.2,0.0774169921875,482.1,223.72462686999998
819200,1207,50,678,-0.002068857561243931,3.6893489360809326,0.6453136801719666,0.0003,-1.9696696758270265,10.153166688978672,490,0.9430175423622131,0.009735344,0.2,0.0751708984375,480.49,225.37502356999997
835584,1225,51,681,-0.0036278115680033808,6.585590839385986,0.6461472511291504,0.0003,-1.9636831875890493,11.768453723192215,500,0.9429498910903931,0.0073727374,0.2,0.08282470703125,494.76,220.30604814000003
851968,1244,52,684,-0.0027500521748152094,1.5126107931137085,0.634626030921936,0.0003,-1.9426728930324315,7.177958334982395,510,0.953315019607544,0.013402484,0.2,0.1011962890625,501.43,219.86525792000003
868352,1262,53,687,-0.002574435967108002,3.9303293228149414,0.6342597007751465,0.0003,-1.9301207233220339,11.03443461805582,520,0.950785756111145,0.0051274123,0.2,0.0639892578125,487.85,221.73749117000003
884736,1281,54,690,-0.0019678236829349773,3.157519817352295,0.6375498175621033,0.0003,-1.9335837107151748,9.264023645967246,530,0.9627141356468201,0.006148304,0.2,0.078118896484375,476.5,225.962552
901120,1299,55,693,-0.0021933263284154235,2.9480011463165283,0.6375789046287537,0.0003,-1.9364236000925303,7.997729006409645,540,0.9624388217926025,0.008297773,0.2,0.0886962890625,473.59,227.13902180999997
917504,1317,56,696,-0.001164705194241833,2.3884146213531494,0.6328521966934204,0.0003,-1.927863947674632,6.213849762827158,550,0.9749966263771057,0.01046105,0.2,0.116925048828125,466.64,230.35818242000002
933888,1336,57,698,-0.0034905838256236166,6.35695219039917,0.6340616345405579,0.0003,-1.9233631625771523,13.292325961589814,560,0.9333136081695557,0.0054257885,0.2,0.07730712890625,472.03,229.75488736000003
950272,1354,58,701,-0.002473664496210404,6.247352600097656,0.6355945467948914,0.0003,-1.930623111128807,8.9517302647233,570,0.9576457738876343,0.0062951962,0.2,0.09560546875,466.6,230.33641638
966656,1373,59,703,-0.0022823803701612633,1.8878244161605835,0.6298840045928955,0.0003,-1.9190496150404215,3.6504074461758136,580,0.9793248772621155,0.0138893835,0.2,0.11993408203125,467.29,229.34106820999997
983040,1391,60,706,-0.0013339053984964266,1.924787998199463,0.6189420223236084,0.0003,-1.8913627602159977,4.21521817818284,590,0.9799842238426208,0.009909239,0.2,0.122369384765625,455.51,231.66571052000003
999424,1410,61,708,-0.0010683811400667765,1.812237024307251,0.6158424019813538,0.0003,-1.872752532362938,3.753027790039778,600,0.9726805686950684,0.008109346,0.2,0.095672607421875,461.68,230.22940338
1015808,1428,62,711,-0.0022630255632975606,1.4109519720077515,0.6088840961456299,0.0003,-1.8523746509104968,2.8646646801382305,610,0.9852797389030457,0.00687533,0.2,0.104901123046875,458.26,231.51505515
,,,,-0.0027947349488385955,3.628312349319458,0.6118768453598022,0.0003,-1.8536601964384318,7.71979691684246,620,0.9564300179481506,0.008082973,0.2,0.075103759765625,,
