time_s,velocity_body_x,velocity_body_y,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z
4.5,-0.347053,-0.0778121,0,0,0,0,0,0,-0
4.55,-0.342959,-0.076112,0,0,0,0,0,0,-0
4.6,-0.338938,-0.0744567,0,0,0,0,0,0,-0
4.65,-0.334988,-0.0728447,0,0,0,0,0,0,-0
4.7,-0.331108,-0.0712744,0,0,0,0,0,0,-0
4.75,-0.327294,-0.0697445,0,0,0,0,0,0,-0
4.8,-0.323546,-0.0682537,0,0,0,0,0,0,-0
4.85,-0.319863,-0.0668008,0,0,0,0,0,0,-0
4.9,-0.316242,-0.0653845,0,0,0,0,0,0,-0
4.95,-0.312681,-0.0640036,0,0,0,0,0,0,-0
5,-0.309181,-0.0626572,0,0,0,0,0,0,-0
5.05,-0.305738,-0.0613439,0,0,0,0,0,0,-0
5.1,-0.302352,-0.060063,0,0,0,0,0,0,-0
5.15,-0.299022,-0.0588133,0,0,0,0,0,0,-0
5.2,-0.295746,-0.0575939,0,0,0,0,0,0,-0
5.25,-0.292522,-0.056404,0,0,0,0,0,0,-0
5.3,-0.28935,-0.0552425,0,0,0,0,0,0,-0
