time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,time/iterations,rollout/ep_rew_mean,train/n_updates,train/clip_fraction,train/learning_rate,train/std,train/entropy_loss,train/clip_range,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/loss
479,85,1199.18,292864,20,-246.13125409,1420,0.03154296875,0.0003,0.8481647968292236,-2.509073573350906,0.2,0.9939128160476685,6.185723674297333,-0.002740393008571118,0.006003146,1.7422587871551514
489,87,1199.18,294912,21,-246.13125409,1430,0.02548828125,0.0003,0.8476356267929077,-2.507017213106155,0.2,0.9650050401687622,1.6101172000169754,-0.0032448750222101807,0.005891745,0.5713726282119751
482,93,1199.18,296960,22,-251.99385045000002,1440,0.014892578125,0.0003,0.8474406003952026,-2.506083208322525,0.2,0.951980471611023,4.9548274487257,-0.0019444811739958822,0.0037621483,0.9740296602249146
492,95,1199.18,299008,23,-251.99385045000002,1450,0.022314453125,0.0003,0.8471724987030029,-2.5057624697685243,0.2,0.9923781156539917,4.531238943338394,-0.002306236233562231,0.0029118014,2.400745391845703
485,101,1199.18,301056,24,-251.82429091000003,1460,0.009375,0.0003,0.847466230392456,-2.505277556180954,0.2,0.9920991659164429,1.41748178973794,-0.0013106750207953154,0.0032764846,0.2464066743850708
494,103,1199.18,303104,25,-251.82429091000003,1470,0.022900390625,0.0003,0.8451778292655945,-2.5045910596847536,0.2,0.9953898191452026,3.4513160407543184,-0.003519555111415684,0.004008691,1.0360833406448364
488,109,1199.18,305152,26,-257.88731782,1480,0.006982421875,0.0003,0.8444947004318237,-2.4993993282318114,0.2,0.8960123658180237,23.249509835243224,-0.000952604238409549,0.0015572375,9.03852367401123
496,111,1199.18,307200,27,-257.88731782,1490,0.035400390625,0.0003,0.8439542055130005,-2.498893052339554,0.2,0.9957687258720398,5.990317380428314,-0.003141158481594175,0.0047683567,2.151293992996216
503,113,1199.18,309248,28,-257.88731782,1500,0.084521484375,0.0003,0.842572033405304,-2.496151530742645,0.2,0.9706109166145325,1.0942688196897508,-0.0048631564248353245,0.011143702,0.2351279854774475
497,119,1199.18,311296,29,-259.80608303,1510,0.02744140625,0.0003,0.842122495174408,-2.49408905506134,0.2,0.9890196323394775,2.5751636415719985,-0.0024032357963733376,0.0026722895,0.658366322517395
504,121,1199.18,313344,30,-259.80608303,1520,0.03798828125,0.0003,0.8433279395103455,-2.493935006856918,0.2,0.9866775870323181,6.641064441204071,-0.006908889068290592,0.008007847,2.580758810043335
498,127,1199.18,315392,31,-265.65137194999994,1530,0.023583984375,0.0003,0.8442723751068115,-2.4979398787021636,0.2,0.9801210761070251,6.08502407670021,-0.0004211044521071017,0.0042562317,0.6614983677864075
505,129,1199.18,317440,32,-265.65137194999994,1540,0.066162109375,0.0003,0.8436864614486694,-2.4978783309459685,0.2,0.9945958852767944,8.107961666584014,-0.007927435357123614,0.007025129,2.5642573833465576
499,135,1199.18,319488,33,-265.89154371999996,1550,0.039697265625,0.0003,0.8434624671936035,-2.4967850148677826,0.2,0.9891706109046936,3.8060727536678316,-0.0035964242997579277,0.003953575,1.1687535047531128
505,137,1199.18,321536,34,-265.89154371999996,1560,0.0080078125,0.0003,0.8426703214645386,-2.4958569705486298,0.2,0.9922471642494202,8.108424413204194,-0.0008864937117323279,0.0023150046,3.9510231018066406
510,140,1199.18,323584,35,-265.89154371999996,1570,0.05615234375,0.0003,0.8386965990066528,-2.4910665929317473,0.2,0.9866635203361511,0.8575030259788037,-0.003515131358290091,0.0045330143,0.246381476521492
504,146,1199.18,325632,36,-265.21152494,1580,0.023046875,0.0003,0.8371056318283081,-2.482700562477112,0.2,0.9911203384399414,4.560869181156159,-0.001882285752799362,0.0041660466,1.265897274017334
509,148,1199.18,327680,37,-265.21152494,1590,0.033251953125,0.0003,0.8397343158721924,-2.4830312967300414,0.2,0.9933006763458252,3.958382800221443,-0.0035490190028212966,0.00460213,1.3529020547866821
503,154,1199.18,329728,38,-263.46027624000004,1600,0.014892578125,0.0003,0.840684711933136,-2.4892432391643524,0.2,0.9934579133987427,2.251456451416016,-0.0021997033152729275,0.0033683288,0.7215662598609924
508,157,1199.18,331776,39,-263.46027624000004,1610,0.03935546875,0.0003,0.8411104679107666,-2.490094268321991,0.2,0.9943430423736572,7.106805551052093,-0.003944839350879192,0.0069402363,2.656188726425171
503,162,1199.18,333824,40,-271.30861064,1620,0.028173828125,0.0003,0.8410390615463257,-2.4908698439598083,0.2,0.9937072396278381,2.160913720726967,-0.002701322257053107,0.0064074686,0.46750760078430176
507,165,1199.18,335872,41,-271.30861064,1630,0.00703125,0.0003,0.841286301612854,-2.4908401489257814,0.2,0.986675500869751,13.992442655563355,-0.0012357189203612506,0.00431684,5.8250579833984375
511,168,1199.18,337920,42,-271.30861064,1640,0.04287109375,0.0003,0.8408147096633911,-2.49109565615654,0.2,0.9935461282730103,0.8460720323026181,-0.004386898304801434,0.0040221675,0.18491432070732117
506,173,1199.18,339968,43,-266.72807899000003,1650,0.039404296875,0.0003,0.840103268623352,-2.489336746931076,0.2,0.9859804511070251,3.240354689955711,-0.004454180301399902,0.0080580115,0.8381878137588501
510,176,1199.18,342016,44,-266.72807899000003,1660,0.041015625,0.0003,0.8400040864944458,-2.488459587097168,0.2,0.9972957372665405,1.8727349415421486,-0.004646324820350855,0.0030493783,0.7020731568336487
