time_s,velocity_body_x,velocity_body_y,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z
4.5,0.042982,-0.225362,0,0,0,0,0,0,-0
4.55,0.0462156,-0.221096,0,0,0,0,0,0,-0
4.6,0.0492522,-0.216919,0,0,0,0,0,0,-0
4.65,0.052101,-0.212831,0,0,0,0,0,0,-0
4.7,0.0547708,-0.20883,0,0,0,0,0,0,-0
4.75,0.05727,-0.204916,0,0,0,0,0,0,-0
4.8,0.0596067,-0.201089,0,0,0,0,0,0,-0
4.85,0.0617889,-0.197348,0,0,0,0,0,0,-0
4.9,0.0638241,-0.193691,0,0,0,0,0,0,-0
4.95,0.0657195,-0.190117,0,0,0,0,0,0,-0
5,0.0674821,-0.186626,0,0,0,0,0,0,-0
5.05,0.0691186,-0.183215,0,0,0,0,0,0,-0
5.1,0.0706353,-0.179884,0,0,0,0,0,0,-0
5.15,0.0720385,-0.176631,0,0,0,0,0,0,-0
5.2,0.0733339,-0.173455,0,0,0,0,0,0,-0
5.25,0.074527,-0.170353,0,0,0,0,0,0,-0
5.3,0.0756233,-0.167324,0,0,0,0,0,0,-0
