time_s,velocity_body_x,velocity_body_y,angular_velocity_body_z,current_body_x,current_body_y,force_body_x,force_body_y,force_world_x,force_world_y,moment_body_z,added_mass_eigenvalue_min,added_mass_eigenvalue_max,added_mass_rr,added_mass_body_xx,added_mass_body_xy,added_mass_body_xr,added_mass_body_yy,added_mass_body_yr
3.85,-0.115067,-0.245644,-0.286937,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
3.9,-0.108472,-0.24212,-0.281118,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
3.95,-0.102136,-0.238618,-0.275333,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4,-0.0960501,-0.235142,-0.269588,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.05,-0.0902063,-0.231693,-0.26389,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.1,-0.0845964,-0.228274,-0.258245,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.15,-0.0792126,-0.224887,-0.252657,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.2,-0.0740469,-0.221534,-0.247132,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.25,-0.0690918,-0.218217,-0.241674,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.3,-0.0643397,-0.214938,-0.236286,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.35,-0.0597833,-0.211697,-0.230971,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.4,-0.0554156,-0.208495,-0.225732,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.45,-0.0512296,-0.205335,-0.220571,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.5,-0.0472184,-0.202216,-0.215491,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.55,-0.0433757,-0.199139,-0.210492,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.6,-0.039695,-0.196105,-0.205577,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.65,-0.0361701,-0.193115,-0.200747,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.7,-0.0327951,-0.190168,-0.196002,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.75,-0.0295642,-0.187265,-0.191342,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.8,-0.0264718,-0.184406,-0.186769,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.85,-0.0235124,-0.181592,-0.182282,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.9,-0.020681,-0.178821,-0.177881,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
4.95,-0.0179723,-0.176094,-0.173566,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
5,-0.0153816,-0.173412,-0.169338,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
5.05,-0.0129041,-0.170772,-0.165194,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
5.1,-0.0105354,-0.168177,-0.161136,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
5.15,-0.00827111,-0.165624,-0.157162,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
5.2,-0.00610698,-0.163114,-0.153271,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
5.25,-0.004039,-0.160646,-0.149463,0,0,0,0,0,0,-0,2.615,39.225,1.4313,2.615,0,0,39.225,0
