"site","zone","timestamp","latitude_deg","longitude_deg","model_timestamp","model_grid_id","distance_m","time_delta_s","observed_east_mps","observed_north_mps","rtofs_east_mps","rtofs_north_mps","observed_speed_mps"
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-122.6767578125,"2026-07-13T00:00:00Z","rtofs:Y376,X441",3778.6598218127283,0,-0.10999999940395355,-0.18000000715255737,0.024237345904111862,-0.09901680797338486,0.21095023688962874
"san-francisco","shelf","2026-07-13T00:00:00Z",37.20825958251953,-122.61428833007812,"2026-07-13T00:00:00Z","rtofs:Y376,X441",2980.242826585728,0,-0.09000000357627869,-0.20999999344348907,0.024237345904111862,-0.09901680797338486,0.2284731885582981
"san-francisco","nearshore","2026-07-13T00:00:00Z",37.20825958251953,-122.55182647705078,"2026-07-13T00:00:00Z","rtofs:Y376,X442",2055.1397686807168,0,-0.07000000029802322,-0.20000000298023224,0.01963299885392189,-0.12326399981975555,0.21189620391554012
"san-francisco","nearshore","2026-07-13T00:00:00Z",37.20825958251953,-122.4893569946289,"2026-07-13T00:00:00Z","rtofs:Y376,X443",2093.229733801782,0,-0.029999999329447746,-0.1599999964237213,0.005465919617563486,-0.038316503167152405,0.1627882023223971
"san-francisco","shelf","2026-07-13T00:00:00Z",37.26219940185547,-123.30140686035156,"2026-07-13T00:00:00Z","rtofs:Y377,X433",3549.5582117697086,0,-0.17000000178813934,-0.07000000029802322,0.00208229199051857,-0.173496276140213,0.1838477648754279
"san-francisco","shelf","2026-07-13T00:00:00Z",37.26219940185547,-123.23894500732422,"2026-07-13T00:00:00Z","rtofs:Y377,X434",4574.449690638424,0,-0.1899999976158142,-0.07000000029802322,-0.0007850723341107368,-0.11543837189674377,0.20248456517900976
"san-francisco","shelf","2026-07-13T00:00:00Z",37.26219940185547,-123.17647552490234,"2026-07-13T00:00:00Z","rtofs:Y377,X434",3651.86418561007,0,-0.18000000715255737,-0.05999999865889549,-0.0007850723341107368,-0.11543837189674377,0.18973666597152003
"san-francisco","shelf","2026-07-13T00:00:00Z",37.26219940185547,-123.114013671875,"2026-07-13T00:00:00Z","rtofs:Y377,X435",3049.8585960121286,0,-0.17000000178813934,-0.09000000357627869,0.020882628858089447,-0.023652825504541397,0.1923538438703463
"san-francisco","shelf","2026-07-13T00:00:00Z",37.26219940185547,-123.05155181884766,"2026-07-13T00:00:00Z","rtofs:Y377,X436",3171.6260308266874,0,-0.18000000715255737,-0.09000000357627869,0.02339821308851242,0.07222558557987213,0.20124612597178332
"san-francisco","shelf","2026-07-13T00:00:00Z",37.26219940185547,-122.98908233642578,"2026-07-13T00:00:00Z","rtofs:Y377,X437",3957.387375638329,0,-0.17000000178813934,-0.12999999523162842,0.030508223921060562,0.060990769416093826,0.21400934411420167
"san-francisco","shelf","2026-07-13T00:00:00Z",37.26219940185547,-122.92662048339844,"2026-07-13T00:00:00Z","rtofs:Y377,X437",4209.997087255292,0,-0.18000000715255737,-0.1599999964237213,0.030508223921060562,0.060990769416093826,0.24083189454578383
"san-francisco","shelf","2026-07-13T00:00:00Z",37.26219940185547,-122.86415100097656,"2026-07-13T00:00:00Z","rtofs:Y377,X438",3315.012145441805,0,-0.1899999976158142,-0.1599999964237213,0.09459467977285385,0.019629769027233124,0.24839484284018506
"san-francisco","shelf","2026-07-13T00:00:00Z",37.26219940185547,-122.80168914794922,"2026-07-13T00:00:00Z","rtofs:Y377,X439",3007.091785003914,0,-0.18000000715255737,-0.15000000596046448,0.12669427692890167,0.0030059926211833954,0.2343074995877428
"san-francisco","shelf","2026-07-13T00:00:00Z",37.26219940185547,-122.73921966552734,"2026-07-13T00:00:00Z","rtofs:Y377,X440",3452.8734431591915,0,-0.18000000715255737,-0.1599999964237213,0.07277432084083557,-0.03588172793388367,0.24083189454578383
